Company,Model,Year,Engine Size (L),Fuel Type,Price (USD)
Honda,Fit,2014,3.4,Petrol,72044.07
Toyota,Corolla,2010,4.1,Hybrid,20653.89
Ford,Mustang,2011,4.3,Hybrid,70569.86
Honda,Pilot,2015,3,Hybrid,71664.23
Ford,F-150,2020,2.4,Diesel,59389.54
Nissan,Sentra,2011,4.3,Electric,79369.02
Mercedes-Benz,C-Class,2010,3.1,Petrol,19431.61
Nissan,Rogue,2013,1.9,Hybrid,73076.9
Chevrolet,Impala,2015,4.7,Petrol,28602.22
BMW,5 Series,2020,3.9,Hybrid,52469.74
Toyota,RAV4,2012,4.2,Petrol,71979.12
Audi,A6,2020,2.4,Diesel,16692.95
Mercedes-Benz,E-Class,2012,2.6,Electric,21565.67
Nissan,Rogue,2011,2.7,Electric,54838.85
Toyota,Prius,2011,3,Diesel,46588.9
Volkswagen,Golf,2012,4.1,Electric,23023.57
Toyota,Corolla,2012,3.6,Electric,74435.43
Audi,A3,2015,3.8,Petrol,23298.12
Chevrolet,Equinox,2019,3.6,Diesel,51579.94
Audi,Q5,2014,4.1,Diesel,47454.54
Hyundai,Kona,2010,2.6,Diesel,38825.46
BMW,X3,2019,3.6,Petrol,26847.58
Mercedes-Benz,C-Class,2010,1.2,Hybrid,50090.92
Chevrolet,Spark,2015,3.4,Petrol,61177.33
Volkswagen,Passat,2015,2.3,Petrol,49299.64
Nissan,Rogue,2015,4.9,Electric,55564.94
Honda,Pilot,2018,1.2,Hybrid,38592.95
Honda,Fit,2019,1.3,Hybrid,15065.51
Mercedes-Benz,E-Class,2015,3.1,Electric,44689.67
Toyota,RAV4,2012,4.5,Diesel,55823.52
BMW,5 Series,2010,2.2,Hybrid,53616.37
Mercedes-Benz,E-Class,2017,2.5,Electric,46050.59
Hyundai,Santa Fe,2016,2.7,Hybrid,37284.05
Mercedes-Benz,E-Class,2017,3.7,Hybrid,50656.9
Volkswagen,Jetta,2015,2.8,Petrol,47822.76
Nissan,Rogue,2019,4.4,Petrol,31696.11
BMW,X5,2012,1.5,Diesel,24545.37
Chevrolet,Spark,2012,2.2,Diesel,38615.95
BMW,X3,2016,3,Electric,48133.65
Mercedes-Benz,GLC,2010,3,Diesel,75630.48
Chevrolet,Spark,2013,2.4,Diesel,57322.31
Toyota,Camry,2010,4.8,Diesel,78802.46
Honda,Civic,2015,1.2,Electric,75826.61
Chevrolet,Malibu,2020,4.8,Electric,24247.77
Audi,Q7,2017,1,Hybrid,44748.44
BMW,X3,2017,3.8,Petrol,74208.75
Audi,Q7,2015,2.6,Hybrid,33831.06
Chevrolet,Malibu,2011,3.6,Electric,33551.79
Volkswagen,Atlas,2020,3,Diesel,20978.58
Volkswagen,Golf,2011,2,Hybrid,76545.15
Mercedes-Benz,GLC,2017,2.5,Electric,58108.57
Honda,Civic,2014,2.9,Hybrid,25560.45
Honda,CR-V,2012,2.1,Petrol,55199.29
Ford,Fiesta,2011,2,Electric,55208.64
Audi,A6,2020,1.3,Hybrid,28081.04
Audi,A6,2013,2,Hybrid,44416.58
Mercedes-Benz,C-Class,2015,1.4,Electric,66570.9
Hyundai,Elantra,2013,3.8,Electric,19167.97
Volkswagen,Jetta,2013,1.1,Electric,37796.57
Nissan,Rogue,2020,3.8,Hybrid,32466.82
BMW,X5,2012,2.9,Diesel,19717.29
Audi,A6,2019,3.8,Diesel,20283.09
Toyota,Prius,2012,2.8,Hybrid,71271.73
Chevrolet,Equinox,2016,5,Diesel,44557.53
Honda,Civic,2019,1.5,Diesel,74636.02
Mercedes-Benz,S-Class,2019,4,Diesel,72171.97
Volkswagen,Golf,2010,2.1,Petrol,55703.3
Hyundai,Tucson,2012,4.7,Petrol,35825.34
Ford,Fiesta,2017,2.8,Diesel,49823.51
Honda,Fit,2016,1.1,Petrol,44209.17
Honda,Pilot,2010,2.8,Petrol,20509.73
BMW,5 Series,2013,2.4,Diesel,55163.7
Chevrolet,Impala,2010,1.6,Hybrid,33052.19
Hyundai,Sonata,2020,3.9,Hybrid,53866.62
Toyota,Corolla,2015,4.4,Electric,21976.87
Volkswagen,Atlas,2016,3.2,Electric,39978.6
BMW,5 Series,2014,2.9,Hybrid,65339.92
Hyundai,Elantra,2019,2.4,Electric,72751.49
Hyundai,Sonata,2011,2,Diesel,50077.44
Chevrolet,Impala,2018,2.2,Diesel,60935.88
Hyundai,Kona,2018,1,Hybrid,57331.64
BMW,X5,2014,2.6,Hybrid,28537.8
Chevrolet,Spark,2015,2.5,Electric,30879.96
Honda,Civic,2012,2.6,Hybrid,46896.05
Volkswagen,Passat,2019,3.2,Diesel,17166.42
Audi,Q7,2016,3.7,Diesel,39270.88
Volkswagen,Tiguan,2018,4.3,Hybrid,69108.03
Volkswagen,Tiguan,2011,3.2,Petrol,46652.67
Chevrolet,Spark,2015,4.3,Diesel,38767.05
Chevrolet,Spark,2010,4.3,Diesel,46144.68
Ford,Focus,2013,3.4,Diesel,70200.94
BMW,3 Series,2013,2.3,Diesel,56684.32
Ford,Focus,2018,4,Hybrid,41240.48
Honda,Pilot,2013,4.7,Electric,53263.89
Honda,Accord,2018,4.9,Diesel,75553.16
Ford,Mustang,2012,4.7,Petrol,39228.56
Nissan,Rogue,2010,1.8,Diesel,39877.55
Chevrolet,Tahoe,2014,3.9,Petrol,60239.74
Toyota,RAV4,2020,4.1,Diesel,57604.99
BMW,3 Series,2014,2.2,Petrol,36754.94
Ford,F-150,2013,4.4,Diesel,26260.53
Honda,Accord,2011,2.3,Diesel,43674.36
Volkswagen,Atlas,2020,4.2,Diesel,50700.92
Mercedes-Benz,S-Class,2020,1.1,Electric,73504.08
Honda,Civic,2012,1.1,Diesel,47092.43
Audi,A4,2013,2.2,Hybrid,32812.31
Audi,A4,2017,3.2,Diesel,16261.43
Nissan,Rogue,2011,2,Petrol,54423.6
Toyota,Highlander,2010,2.9,Hybrid,42277.07
Chevrolet,Malibu,2013,4.5,Diesel,23810.93
Mercedes-Benz,C-Class,2014,4.2,Electric,56243.23
Audi,A4,2016,1.8,Petrol,18733.74
Volkswagen,Jetta,2013,1.3,Hybrid,72329.07
Nissan,Sentra,2010,1.7,Hybrid,79228.01
Honda,Accord,2020,1.4,Diesel,67516.46
Audi,A3,2017,2.2,Hybrid,58087.77
Nissan,Rogue,2019,4.5,Hybrid,79484.45
Honda,Civic,2018,2.6,Diesel,66186.84
Ford,Explorer,2012,3.4,Diesel,72024.17
Volkswagen,Passat,2020,1,Electric,62427.6
Audi,A6,2019,1.3,Petrol,55002.35
Mercedes-Benz,C-Class,2016,4.2,Electric,55405.69
BMW,3 Series,2018,1.9,Petrol,32258.95
Ford,Mustang,2020,1.9,Petrol,67317.99
Chevrolet,Equinox,2013,4.2,Petrol,38246.37
Hyundai,Kona,2013,2.2,Electric,21541.93
Audi,Q5,2011,1.4,Petrol,46932.53
Audi,A6,2015,3.1,Petrol,49702.16
Audi,A3,2010,4.1,Diesel,79973.56
Volkswagen,Golf,2010,2.8,Hybrid,58935.5
Toyota,Camry,2019,3.4,Electric,54301.2
Volkswagen,Atlas,2019,1.7,Hybrid,79206.37
Ford,Fiesta,2013,2.3,Hybrid,37555.14
Audi,A4,2015,4.4,Electric,44975.75
BMW,7 Series,2012,1.2,Hybrid,61518.76
Volkswagen,Passat,2017,2.6,Hybrid,18703.95
Honda,Fit,2019,1.2,Electric,35704.73
Chevrolet,Tahoe,2019,4.4,Hybrid,23698.19
Ford,Mustang,2019,1.5,Electric,64657.05
Honda,CR-V,2010,4.7,Hybrid,35381.26
Hyundai,Sonata,2013,2.6,Petrol,45433.59
Hyundai,Elantra,2020,4.2,Electric,71202.79
Mercedes-Benz,GLC,2010,3.2,Petrol,66112.69
Ford,Mustang,2012,4.4,Diesel,24303.6
BMW,3 Series,2018,2.7,Diesel,70707.87
Audi,Q5,2019,2.1,Diesel,41414.43
Honda,CR-V,2015,4.9,Petrol,26547.4
Toyota,Highlander,2015,3.1,Hybrid,63271.13
BMW,3 Series,2015,5,Diesel,72353.95
Audi,Q5,2017,2.6,Hybrid,18890.17
Ford,F-150,2019,1.6,Hybrid,31485.79
Nissan,Altima,2010,4.8,Electric,43152.03
Toyota,Corolla,2010,3.7,Petrol,45412.29
Toyota,Highlander,2015,3.6,Petrol,40941.47
Toyota,Corolla,2011,3.4,Diesel,67271.75
BMW,3 Series,2019,1.9,Petrol,18440.41
Toyota,RAV4,2017,2,Hybrid,33144.97
Honda,Civic,2016,3.3,Hybrid,19890.36
Hyundai,Elantra,2020,1.2,Petrol,53355.27
Hyundai,Tucson,2017,1.4,Diesel,54036.85
Nissan,Versa,2012,4.3,Diesel,64306.23
Honda,Fit,2015,2.7,Diesel,55347.59
Nissan,Versa,2011,3.2,Petrol,34926.95
Volkswagen,Golf,2013,4.6,Diesel,31790.36
Toyota,Corolla,2011,3.1,Hybrid,62073.14
Ford,F-150,2015,1.5,Petrol,27954.16
Volkswagen,Jetta,2014,4.5,Diesel,59617.12
BMW,7 Series,2017,1.2,Hybrid,31249.77
Hyundai,Sonata,2017,1,Diesel,28688.31
BMW,7 Series,2018,3.9,Diesel,77685.29
Hyundai,Santa Fe,2010,3.2,Hybrid,17456.32
Ford,Focus,2014,4.8,Petrol,73432.69
BMW,3 Series,2016,2.2,Petrol,71365.68
Audi,A3,2020,2.6,Diesel,42814.6
Honda,CR-V,2012,2.8,Diesel,66800.73
Honda,Fit,2019,3.1,Hybrid,60158.62
Audi,A6,2019,2.6,Diesel,27037.59
Ford,Mustang,2018,3.1,Hybrid,33302.12
Ford,Fiesta,2013,4.9,Electric,15555.59
Audi,A4,2013,1.1,Petrol,69781.25
BMW,X5,2015,4.5,Hybrid,29393.46
Nissan,Versa,2014,1.9,Diesel,26475.02
Hyundai,Tucson,2014,3.5,Hybrid,54218.47
Nissan,Sentra,2020,3.2,Hybrid,48355.66
BMW,5 Series,2012,4.1,Hybrid,62224.05
Volkswagen,Golf,2014,3.7,Petrol,31473.66
Volkswagen,Jetta,2015,3.9,Diesel,55904.26
Nissan,Rogue,2015,4.6,Petrol,25782.4
Mercedes-Benz,C-Class,2017,1.7,Hybrid,65477.14
Hyundai,Kona,2015,1.5,Petrol,21869.01
BMW,3 Series,2012,1.1,Diesel,16283.25
Volkswagen,Tiguan,2013,1.4,Electric,18000.9
Toyota,RAV4,2020,3,Hybrid,55283.9
Ford,Fiesta,2017,4.9,Diesel,39918.63
Ford,Mustang,2015,3.4,Hybrid,21589.46
Chevrolet,Spark,2019,5,Electric,39925.3
Toyota,Camry,2017,4.3,Hybrid,75607.15
Ford,Focus,2010,2.4,Hybrid,60435.96
BMW,X5,2020,2.6,Petrol,22993.18
Hyundai,Sonata,2011,3.2,Diesel,27452.87
Chevrolet,Tahoe,2017,4.1,Hybrid,77921.46
Audi,A6,2016,3.6,Electric,54241.87
Ford,Focus,2017,3.7,Petrol,58713.17
Chevrolet,Tahoe,2019,1,Petrol,61032.95
Hyundai,Sonata,2014,3.8,Electric,65167
Hyundai,Santa Fe,2014,2.8,Hybrid,25125.69
Hyundai,Elantra,2013,2.5,Hybrid,60437.48
Volkswagen,Passat,2016,1.2,Diesel,39859.12
Hyundai,Tucson,2017,1.4,Electric,25403.54
Hyundai,Santa Fe,2020,4.3,Hybrid,18612.64
Nissan,Rogue,2018,1.7,Diesel,17815.54
Mercedes-Benz,C-Class,2016,2.3,Hybrid,43991.73
BMW,5 Series,2014,4.3,Diesel,40507.2
Chevrolet,Impala,2013,1.5,Petrol,50708.36
Hyundai,Santa Fe,2017,3.3,Hybrid,30705.87
Nissan,Sentra,2013,4.3,Diesel,64021.98
Honda,CR-V,2010,2.9,Petrol,45593.66
Nissan,Sentra,2015,2.8,Electric,66659.64
Mercedes-Benz,C-Class,2011,3.2,Diesel,17205.56
Audi,Q7,2013,4.7,Electric,34313.06
Volkswagen,Atlas,2010,1.3,Diesel,39772.83
Hyundai,Santa Fe,2013,2.9,Petrol,23599.5
Hyundai,Tucson,2015,2.9,Diesel,28134.77
Nissan,Versa,2014,4.2,Diesel,76596.66
Nissan,Sentra,2012,3.9,Diesel,78701.53
Nissan,Rogue,2014,1.1,Hybrid,30121.01
Ford,Focus,2011,3.2,Petrol,69029.29
Mercedes-Benz,E-Class,2017,2.6,Diesel,69312.68
Ford,Focus,2014,3.9,Diesel,33295.93
Ford,Mustang,2016,1.1,Hybrid,55715.7
Nissan,Altima,2015,4.8,Hybrid,69476.15
BMW,5 Series,2020,1.5,Hybrid,41362.83
Volkswagen,Atlas,2014,2.2,Petrol,50457.33
Honda,Accord,2018,1.4,Electric,31103.13
Mercedes-Benz,GLC,2011,2.5,Electric,23565.77
Chevrolet,Spark,2012,1.8,Electric,48038.96
Hyundai,Tucson,2010,2.1,Diesel,65655.06
BMW,X5,2016,3,Electric,63899.44
BMW,X3,2011,2.1,Diesel,41110.2
Hyundai,Tucson,2011,1.4,Hybrid,23189.3
Audi,A6,2010,4.7,Electric,73430.07
Ford,Mustang,2010,1.1,Diesel,70740.78
BMW,X3,2018,1,Diesel,36419.49
Volkswagen,Jetta,2020,3.4,Petrol,31254.2
Audi,Q7,2015,1.7,Hybrid,35487.64
Chevrolet,Tahoe,2010,3.2,Diesel,78667.74
Volkswagen,Jetta,2012,4.4,Diesel,46862.34
Honda,CR-V,2013,3.2,Petrol,19990.3
BMW,7 Series,2014,4.1,Hybrid,44417.25
BMW,X5,2019,4.2,Electric,59870.44
Mercedes-Benz,E-Class,2014,3,Petrol,72819.33
Volkswagen,Passat,2012,4.1,Petrol,47208.91
Toyota,RAV4,2013,1.4,Electric,77971.22
Honda,CR-V,2016,1.9,Electric,55155.74
Ford,F-150,2020,4.5,Electric,23084.05
Volkswagen,Golf,2013,1.9,Electric,44477.62
Mercedes-Benz,C-Class,2015,4,Diesel,73191.46
Honda,Accord,2017,1.7,Petrol,26805.07
Ford,Explorer,2017,3.5,Hybrid,47886.1
Chevrolet,Tahoe,2011,2.4,Electric,36995.33
Mercedes-Benz,GLA,2018,2,Electric,75688.36
Hyundai,Sonata,2020,4.1,Petrol,71655.74
Nissan,Altima,2015,1.1,Diesel,55345.78
Honda,CR-V,2018,2.3,Petrol,46003.12
Honda,Civic,2015,3.6,Petrol,36637.5
Audi,A6,2018,4.8,Electric,23844.57
Chevrolet,Malibu,2020,4,Petrol,19444.02
Audi,Q7,2019,1.9,Petrol,73149.07
Audi,Q7,2018,4.2,Petrol,40860.59
BMW,7 Series,2014,1.9,Electric,62863.96
Ford,Fiesta,2019,1.2,Diesel,58043.75
Chevrolet,Equinox,2012,4.6,Petrol,33584.83
Volkswagen,Passat,2015,2.7,Petrol,29841.69
Honda,Fit,2014,2.3,Electric,39097.79
Ford,Mustang,2013,3.4,Petrol,24871.07
Hyundai,Santa Fe,2015,3.9,Diesel,69164.43
BMW,X5,2016,4.6,Electric,62860.04
Ford,Explorer,2017,3.8,Electric,33755.47
Toyota,RAV4,2018,4.8,Diesel,36346.37
Toyota,Highlander,2010,4.1,Hybrid,67972.16
Chevrolet,Tahoe,2014,1.9,Hybrid,66201.11
Nissan,Sentra,2019,3.9,Petrol,25058.29
Honda,Accord,2020,2.7,Petrol,30464.85
Toyota,Highlander,2013,2.3,Petrol,20316.91
Chevrolet,Impala,2012,3.8,Petrol,38355.09
Honda,Civic,2012,1.7,Petrol,47472.28
Ford,Explorer,2010,4.7,Hybrid,15043.54
Toyota,Camry,2012,1.2,Hybrid,20713.46
Chevrolet,Malibu,2017,1.5,Hybrid,63634.65
Audi,A3,2016,4,Electric,71738.89
Toyota,Prius,2015,3.3,Petrol,58309.46
Chevrolet,Spark,2010,4.6,Petrol,32167.35
Mercedes-Benz,GLC,2020,4.3,Petrol,54494.51
Honda,Fit,2015,3.2,Petrol,57152.43
Mercedes-Benz,E-Class,2018,4.1,Hybrid,54205.98
Honda,Fit,2014,2.6,Diesel,76297.4
Ford,Focus,2018,3,Electric,59076.07
Ford,Fiesta,2020,2.2,Electric,40531.77
Nissan,Sentra,2016,5,Electric,33361.66
Toyota,Corolla,2019,4.8,Diesel,46935.12
BMW,X5,2018,4.6,Hybrid,58247.77
Chevrolet,Malibu,2016,4.2,Diesel,23085.87
Hyundai,Tucson,2015,5,Diesel,73995.2
Volkswagen,Tiguan,2019,2,Petrol,64697.07
Audi,A6,2019,1.8,Petrol,35805.3
Toyota,Highlander,2010,2,Hybrid,62557.75
Chevrolet,Spark,2016,3.2,Petrol,24025.12
Honda,Civic,2011,4.6,Diesel,60135.83
Mercedes-Benz,GLC,2011,1.2,Diesel,51687.98
Audi,Q5,2017,3.8,Diesel,46928.15
Chevrolet,Spark,2015,4.9,Electric,57349.38
Audi,A6,2018,1.7,Hybrid,46686.5
Ford,Explorer,2014,2.8,Diesel,59550.16
Honda,Pilot,2010,2.6,Petrol,24829.35
Ford,Focus,2019,2.9,Electric,15477.8
Mercedes-Benz,C-Class,2019,5,Electric,68765.53
Volkswagen,Atlas,2019,3.4,Diesel,47117.08
Ford,Explorer,2013,1.2,Petrol,45135.47
Mercedes-Benz,S-Class,2018,3.2,Petrol,30266.41
Audi,A4,2020,4.9,Hybrid,32369.22
Mercedes-Benz,E-Class,2020,2.8,Hybrid,78625.67
BMW,5 Series,2015,3.8,Electric,51534.67
Hyundai,Sonata,2012,2.2,Hybrid,30369.93
Mercedes-Benz,C-Class,2018,4.9,Diesel,38421.51
Mercedes-Benz,S-Class,2016,2.4,Hybrid,73210.93
Audi,A6,2018,1.4,Petrol,60051.48
Mercedes-Benz,E-Class,2015,2.7,Diesel,75938.09
Volkswagen,Golf,2014,3.2,Hybrid,35170.36
Volkswagen,Jetta,2011,4.7,Electric,21869.8
Toyota,Prius,2020,4.2,Petrol,66694.08
Toyota,Camry,2011,2.6,Petrol,70254
Honda,CR-V,2015,3.6,Diesel,56300.34
Honda,Civic,2015,4.1,Electric,33522.12
Toyota,Corolla,2018,4.3,Hybrid,67658.94
BMW,3 Series,2019,3.4,Electric,70432.25
Toyota,Corolla,2013,2.7,Diesel,35679.78
Honda,Accord,2012,4.1,Hybrid,54388.08
Toyota,Prius,2017,3.6,Hybrid,55865.05
Hyundai,Kona,2010,3.4,Diesel,20526.04
Honda,CR-V,2019,4.2,Diesel,54263.1
Volkswagen,Golf,2018,4.5,Hybrid,49203.47
Hyundai,Santa Fe,2011,1.2,Hybrid,57910.65
Mercedes-Benz,C-Class,2015,1.6,Petrol,47372.74
Mercedes-Benz,C-Class,2012,3.4,Electric,69358.1
Ford,Mustang,2010,4.5,Electric,23489.58
Audi,A3,2013,1.7,Petrol,21463.65
Hyundai,Kona,2015,4.9,Petrol,35259.39
BMW,5 Series,2018,4.2,Diesel,28190.93
Toyota,RAV4,2010,3,Electric,49478.31
Volkswagen,Golf,2016,1.5,Electric,76463.14
Audi,A6,2012,3.5,Diesel,36694.3
Mercedes-Benz,E-Class,2016,4.9,Diesel,15135.78
Hyundai,Tucson,2016,3.9,Electric,51697.5
Volkswagen,Passat,2013,4.9,Diesel,47255.68
Ford,Focus,2013,4.4,Hybrid,33536.71
Volkswagen,Atlas,2016,1.3,Diesel,35844.26
Ford,Focus,2020,2.8,Electric,27040.86
Volkswagen,Tiguan,2013,4,Diesel,77578.07
Toyota,Prius,2020,4.3,Electric,70948.35
Chevrolet,Malibu,2014,4.2,Diesel,74480.41
Ford,Focus,2014,3.7,Petrol,38175.45
BMW,3 Series,2019,2.4,Electric,61878.64
Ford,Fiesta,2019,4.8,Diesel,28797.36
Chevrolet,Equinox,2010,4.9,Electric,48450.76
Honda,Civic,2020,2.4,Electric,66212.63
Toyota,Highlander,2019,4.1,Petrol,76012.54
Ford,Explorer,2011,1.8,Electric,64384.34
Volkswagen,Atlas,2017,3,Hybrid,38458.26
Ford,F-150,2020,1.5,Electric,25590.67
Nissan,Versa,2013,2,Electric,39594.67
Volkswagen,Passat,2018,2.2,Petrol,45450.15
Volkswagen,Jetta,2020,3.6,Diesel,63881.95
Chevrolet,Equinox,2020,2,Hybrid,59428.64
Hyundai,Elantra,2014,3.1,Petrol,47512.03
Mercedes-Benz,C-Class,2016,3.3,Hybrid,55139.25
Chevrolet,Malibu,2012,4.4,Petrol,16527.94
Ford,F-150,2013,3.7,Diesel,35045.19
Toyota,Camry,2015,2.4,Electric,69426.05
Hyundai,Kona,2019,4.2,Electric,59791.81
Hyundai,Sonata,2015,3.4,Diesel,76021.79
BMW,5 Series,2011,2.6,Electric,68055.51
Chevrolet,Equinox,2012,1.2,Petrol,16629.3
Hyundai,Kona,2011,3,Petrol,63286.91
Hyundai,Sonata,2014,1.1,Hybrid,41181.68
BMW,X3,2016,3.3,Diesel,30594.67
Chevrolet,Tahoe,2017,2.3,Diesel,22578.8
Ford,Focus,2011,2,Electric,57011.19
Ford,Focus,2017,2.5,Petrol,15472.22
Chevrolet,Malibu,2017,3.3,Petrol,67968.28
Honda,CR-V,2015,3.8,Petrol,22632.2
Volkswagen,Golf,2020,5,Petrol,67944.81
Nissan,Murano,2014,3.7,Petrol,76753.67
Mercedes-Benz,S-Class,2014,3,Petrol,15318.15
BMW,X5,2014,3,Petrol,61300.8
Ford,F-150,2011,3.4,Diesel,25742.67
Ford,Fiesta,2019,4.4,Diesel,51324.68
Chevrolet,Spark,2014,2,Petrol,15147.35
BMW,5 Series,2017,4.1,Hybrid,60100.9
Volkswagen,Passat,2016,2,Hybrid,61214.31
Volkswagen,Jetta,2015,3.3,Hybrid,44770.1
Honda,Accord,2014,1.6,Hybrid,30149.86
Honda,Accord,2014,1,Petrol,26675.96
Ford,Explorer,2013,5,Diesel,25713.51
Toyota,Prius,2015,4.5,Diesel,40176.56
Mercedes-Benz,C-Class,2010,3.7,Diesel,28481.87
Volkswagen,Atlas,2015,1.1,Diesel,78394.34
BMW,7 Series,2016,1.4,Diesel,53163.01
Hyundai,Elantra,2018,2.8,Diesel,30186.68
Nissan,Versa,2013,1.9,Diesel,33823.86
Nissan,Sentra,2016,3.3,Hybrid,17390.97
Hyundai,Elantra,2019,2.1,Hybrid,51441.5
Chevrolet,Tahoe,2015,3.7,Electric,51669.42
Nissan,Murano,2012,5,Hybrid,37664.06
Honda,Accord,2017,3.8,Hybrid,74642.64
Audi,A3,2013,2.2,Diesel,43514.72
BMW,5 Series,2015,2.1,Electric,77612.77
Toyota,Prius,2014,2.6,Electric,45973.13
Hyundai,Tucson,2018,4,Diesel,55284.83
Ford,Focus,2016,2.4,Diesel,28285.68
BMW,7 Series,2017,2.5,Petrol,68287.37
Audi,Q5,2015,4.1,Hybrid,35972.5
Honda,Pilot,2012,2.7,Hybrid,30897.59
Honda,Accord,2015,2.3,Hybrid,42245.63
Ford,F-150,2014,3.1,Hybrid,45712.31
Audi,A4,2017,2.9,Hybrid,32352.75
Audi,Q5,2012,3.2,Electric,46500.68
Toyota,RAV4,2016,1.3,Diesel,38995.19
Toyota,RAV4,2020,2.7,Electric,50643.34
Mercedes-Benz,GLA,2018,2.2,Hybrid,43444.69
Honda,Fit,2018,1.1,Petrol,54500.07
Toyota,Camry,2020,3.2,Electric,44920.14
Toyota,Camry,2016,2.9,Electric,21994.35
Chevrolet,Spark,2011,4,Diesel,18778
Audi,A3,2017,1.8,Hybrid,44785.72
BMW,5 Series,2019,2.2,Hybrid,38240.18
Mercedes-Benz,GLA,2020,2.9,Hybrid,43112.12
Mercedes-Benz,S-Class,2014,1.1,Diesel,31267.65
Ford,Fiesta,2011,3,Petrol,64682.11
Nissan,Altima,2019,4.7,Electric,67151.99
Toyota,RAV4,2017,4.3,Electric,63789.64
Toyota,Prius,2014,3.2,Petrol,45536.99
BMW,7 Series,2018,2,Diesel,57622.16
Chevrolet,Spark,2015,1.5,Hybrid,25389.39
Nissan,Murano,2011,4,Electric,39392.11
Honda,Pilot,2013,3,Diesel,76659.82
BMW,3 Series,2015,3.7,Electric,62255.44
Volkswagen,Atlas,2010,1,Hybrid,66622.53
Audi,A6,2015,3.8,Electric,19615.69
Chevrolet,Equinox,2016,4.1,Electric,31501.7
Volkswagen,Jetta,2017,4.4,Petrol,29915.04
Volkswagen,Atlas,2011,1,Diesel,38282.22
Audi,Q5,2012,2.1,Petrol,66556.95
Hyundai,Santa Fe,2012,1.4,Electric,44611.23
Volkswagen,Atlas,2018,3.4,Diesel,31888.44
Hyundai,Kona,2018,3.8,Electric,16477.15
BMW,5 Series,2020,1.4,Hybrid,77558.94
Toyota,Corolla,2016,1.8,Petrol,21212.35
BMW,3 Series,2019,4.5,Hybrid,45918.31
Mercedes-Benz,C-Class,2017,3.8,Hybrid,21372.51
Chevrolet,Malibu,2017,2.1,Petrol,70149.43
Mercedes-Benz,S-Class,2010,3.8,Hybrid,17507.14
Ford,Explorer,2010,2.7,Hybrid,49935.72
Honda,Fit,2018,4.7,Diesel,60488.42
Toyota,Highlander,2019,3.8,Hybrid,35120.86
Hyundai,Elantra,2017,4.4,Diesel,78543.75
Ford,Fiesta,2019,1.3,Electric,24070
Mercedes-Benz,GLA,2011,1.8,Diesel,42925.07
Honda,Fit,2013,3.7,Diesel,53395.79
Hyundai,Elantra,2014,2.5,Petrol,51632.44
Toyota,Camry,2010,4.1,Diesel,56333.35
Toyota,RAV4,2013,2.4,Petrol,66527.86
Toyota,Highlander,2018,1.6,Petrol,31753.32
Mercedes-Benz,C-Class,2014,4.5,Diesel,27663.65
BMW,X3,2013,2.8,Petrol,18678.07
BMW,X3,2013,2.4,Petrol,62696.76
Hyundai,Sonata,2012,4.1,Electric,49388.04
BMW,X3,2011,4.5,Petrol,59782.44
Chevrolet,Equinox,2010,2.2,Diesel,76231.4
Honda,Fit,2011,2.5,Diesel,54291.82
Toyota,RAV4,2010,4.8,Diesel,29900.79
Audi,A6,2016,1.9,Electric,46676.2
Chevrolet,Tahoe,2013,4.7,Electric,48191.14
Toyota,Camry,2012,3.6,Petrol,21611.33
Honda,Pilot,2014,2.9,Electric,50741.19
BMW,3 Series,2011,4.3,Diesel,43793.41
Ford,Mustang,2015,2.1,Hybrid,54145.75
Hyundai,Kona,2020,1.5,Petrol,38364.19
Volkswagen,Golf,2018,3.5,Petrol,49045.26
Volkswagen,Golf,2015,4.7,Electric,72094.17
Honda,CR-V,2015,2.8,Hybrid,17248.09
Hyundai,Santa Fe,2015,1.3,Hybrid,22902.73
Nissan,Versa,2012,3.4,Hybrid,33319.94
Mercedes-Benz,S-Class,2014,3.3,Electric,20756.36
Chevrolet,Spark,2015,2.2,Diesel,65255.32
Audi,A3,2010,3.1,Electric,77926.44
Mercedes-Benz,GLA,2019,2.3,Diesel,68460.22
Audi,Q7,2015,2.3,Hybrid,41409.57
Hyundai,Kona,2012,2.1,Petrol,15904.36
Nissan,Rogue,2018,2.1,Petrol,47501
Ford,Mustang,2011,1.4,Petrol,55675.18
Volkswagen,Golf,2010,4,Electric,61812.47
Chevrolet,Impala,2010,4.7,Petrol,61971.56
BMW,X3,2011,4.7,Diesel,20860.38
Honda,Pilot,2020,1.1,Diesel,57623.19
Toyota,Camry,2015,4.8,Electric,18864.78
Chevrolet,Impala,2016,2.5,Diesel,39614.16
Hyundai,Santa Fe,2014,3.2,Hybrid,63574.08
Volkswagen,Atlas,2016,2.4,Electric,44522.47
Nissan,Sentra,2013,4,Electric,23328.96
Ford,Fiesta,2012,3,Electric,15010.25
Mercedes-Benz,S-Class,2015,3.8,Electric,30853
Nissan,Versa,2011,4.3,Hybrid,71694.81
Toyota,Camry,2017,4,Petrol,65904.66
Honda,Accord,2014,4.5,Hybrid,67336.57
Audi,A3,2020,1.5,Hybrid,21948.14
Mercedes-Benz,GLC,2012,5,Electric,38042.91
Honda,Accord,2014,4.9,Diesel,68173.43
Nissan,Altima,2014,4.8,Diesel,47750.64
Chevrolet,Equinox,2015,1,Hybrid,69791.92
Volkswagen,Jetta,2011,1.5,Electric,78243.46
